100 90
1 1 10
1 2 11
1 3 12
1 4 13
1 5 14
2 2 20
3 3 30
4 4 40
5 5 50
6 6 60
7 7 70
8 8 80
9 9 90
10 10 100
11 11 110
12 12 120
13 13 130
14 14 140
15 15 150
16 16 160
17 17 170
18 18 180
19 19 190
20 20 200
21 21 210
22 22 220
23 23 230
24 24 240
25 25 250
26 26 260
27 27 270
28 28 280
29 29 290
30 30 300
31 31 310
32 32 320
33 33 330
34 34 340
35 35 350
36 36 360
37 37 370
38 38 380
39 39 390
40 40 400
41 41 410
42 42 420
43 43 430
44 44 440
45 45 450
46 46 460
47 47 470
48 48 480
49 49 490
50 50 500
51 51 510
52 52 520
53 53 530
54 54 540
55 55 550
56 56 560
57 57 570
58 58 580
59 59 590
60 60 600
61 61 610
62 62 620
63 63 630
64 64 640
65 65 650
66 66 660
67 67 670
68 68 680
69 69 690
70 70 700
71 71 710
72 72 720
73 73 730
74 74 740
75 75 750
76 76 760
77 77 770
78 78 780
79 79 790
80 80 800
81 81 810
82 82 820
83 83 830
84 84 840
85 85 850
86 86 860
87 87 870
88 88 880
89 89 890
